,iata_code,lat,lon,countries
0,ABV,9.035,7.38,Nigeria
1,ADB,38.29,27.16,Turkey
2,ADD,9.0,38.775,Ethiopia
3,ADL,-34.94,138.53,Australia
4,AEP,-34.56,-58.42,Argentina
5,AER,43.525000000000006,39.845,Russia
6,AGP,36.695,-4.46,Spain
7,AKL,-36.94,174.78,New Zealand
8,ALA,43.305,76.98500000000001,Kazakhstan
9,ALC,38.315,-0.52,Spain
10,ALG,36.725,3.125,Algeria
11,AMS,52.34,4.824999999999999,Netherlands
12,ANC,61.17,-150.0,United States
13,ANK,39.92,32.85,Turkey
14,ARN,59.65,17.92,Sweden
15,ATH,37.959999999999994,23.83,Greece
16,ATL,33.695,-84.405,United States
17,AUH,24.45,54.51,United Arab Emirates
18,AUS,30.23,-97.705,United States
19,AYT,36.905,30.75,Turkey
20,BAH,26.15,50.59,Bahrain
21,BCN,41.345,2.12,Spain
22,BER,52.52,13.41,Germany
23,BET,60.78,-161.84,United States
24,BGY,45.67,9.7,Italy
25,BHX,52.465,-1.825,United Kingdom
26,BHZ,-19.92,-43.94,Brazil
27,BJS,39.91,116.4,China
28,BKK,13.719999999999999,100.625,Thailand
29,BLR,13.085,77.65,India
30,BNA,36.144999999999996,-86.73,United States
31,BNE,-27.424999999999997,153.075,Australia
32,BOG,4.665,-74.12,Colombia
33,BOM,19.08,72.875,India
34,BOS,42.364999999999995,-71.015,United States
35,BPN,-1.27,116.86,Indonesia
36,BRU,50.875,4.415,Belgium
37,BSB,-15.825,-47.925,Brazil
38,BUD,47.47,19.15,Hungary
39,BUE,-34.61,-58.38,Argentina
40,BUH,44.5,26.08,Romania
41,BWI,39.235,-76.64,United States
42,BZE,17.5,-88.2,Belize
43,CAI,30.09,31.33,Egypt
44,CAN,23.255000000000003,113.275,China
45,CAS,33.59,-7.61,Morocco
46,CCS,10.545,-66.94,Venezuela
47,CCU,22.604999999999997,88.405,India
48,CDG,49.01,2.55,France
49,CEB,10.315000000000001,123.935,Philippines
50,CGH,-23.63,-46.66,Brazil
51,CGK,-6.13,106.66,Indonesia
52,CGN,50.905,7.035,Germany
53,CGO,34.64,113.745,China
54,CHC,-43.510000000000005,172.57999999999998,New Zealand
55,CHI,41.85,-87.65,United States
56,CJU,33.51,126.505,South Korea
57,CKG,29.669999999999998,106.61,China
58,CLT,35.21,-80.94,United States
59,CMB,7.055,79.865,Sri Lanka
60,CMN,33.37,-7.59,Morocco
61,CNF,-19.63,-43.97,Brazil
62,CNS,-16.905,145.765,Australia
63,CPH,55.62,12.66,Denmark
64,CPT,-33.945,18.51,South Africa
65,CSX,28.195,113.095,China
66,CTS,42.78,141.69,Japan
67,CTU,30.625,104.00999999999999,China
68,CUN,21.105,-86.865,Mexico
69,DAC,23.775,90.405,Bangladesh
70,DAL,32.85,-96.85,United States
71,DAR,-6.85,39.235,Tanzania
72,DCA,38.85,-77.04,United States
73,DEL,28.61,77.16499999999999,India
74,DEN,39.8,-104.825,United States
75,DFW,32.84,-96.92500000000001,United States
76,DLC,38.94,121.57,China
77,DME,55.41,37.91,Russia
78,DMK,13.91,100.6,Thailand
79,DMM,26.45,49.95,Saudi Arabia
80,DOH,25.265,51.59,Qatar
81,DPS,-8.7,115.195,Indonesia
82,DTT,42.33,-83.05,United States
83,DTW,42.21,-83.35,United States
84,DUB,53.375,-6.26,Ireland
85,DUR,-29.740000000000002,31.075000000000003,South Africa
86,DUS,51.25,6.775,Germany
87,DXB,25.16,55.265,United Arab Emirates
88,EDI,55.95,-3.285,United Kingdom
89,ESB,40.13,32.995000000000005,Turkey
90,EWR,40.715,-74.17500000000001,United States
91,EZE,-34.82,-58.54,Argentina
92,FAI,64.825,-147.79000000000002,United States
93,FCO,41.79,12.25,Italy
94,FLL,26.07,-80.15,United States
95,FRA,50.08,8.620000000000001,Germany
96,FTW,32.73,-97.32,United States
97,FUK,33.595,130.435,Japan
98,GDL,20.595,-103.35,Mexico
99,GEA,-22.27,166.5,New Caledonia
100,GIG,-22.8,-43.23,Brazil
101,GLA,55.87,-4.345,United Kingdom
102,GMP,37.56,126.79,South Korea
103,GRU,-23.43,-46.48,Brazil
104,GVA,46.22,6.130000000000001,Switzerland
105,HAK,19.990000000000002,110.4,China
106,HAM,53.605000000000004,10.004999999999999,Germany
107,HAN,21.119999999999997,105.825,Vietnam
108,HAV,23.06,-82.395,Cuba
109,HEL,60.245000000000005,24.950000000000003,Finland
110,HET,40.83,111.735,China
111,HGH,30.259999999999998,120.295,China
112,HIR,-9.43,160.0,Solomon Islands
113,HKG,22.299999999999997,114.045,Hong Kong
114,HKT,8.0,98.36,Thailand
115,HND,35.55,139.78,Japan
116,HNL,21.32,-157.925,United States
117,HOU,29.705,-95.32,United States
118,HRB,45.685,126.45,China
119,HYD,17.305,78.445,India
120,IAD,38.94,-77.46,United States
121,IAH,29.99,-95.34,United States
122,ICN,37.46,126.45,South Korea
123,IEV,50.4,30.45,Ukraine
124,IST,41.01,28.95,Turkey
125,ITM,34.79,135.44,Japan
126,IZM,38.41,27.14,Turkey
127,JED,21.6,39.19,Saudi Arabia
128,JFK,40.64,-73.78,United States
129,JKT,-6.27,106.9,Indonesia
130,JNB,-26.165,28.14,South Africa
131,JNU,58.325,-134.5,United States
132,KHI,24.91,67.12,Pakistan
133,KIX,34.43,135.24,Japan
134,KMG,25.07,102.83,China
135,KNO,3.64,98.87,Indonesia
136,KRT,15.57,32.54,Sudan
137,KTM,27.7,85.34,Nepal
138,KUL,2.9450000000000003,101.69999999999999,Malaysia
139,KWE,26.56,106.75999999999999,China
140,KWI,29.3,47.974999999999994,Kuwait
141,LAD,-8.85,13.23,Angola
142,LAS,36.125,-115.14500000000001,United States
143,LAX,33.995,-118.32499999999999,United States
144,LED,59.87,30.285,Russia
145,LGA,40.78,-73.87,United States
146,LGW,51.16,-0.18,United Kingdom
147,LHR,51.48,-0.46,United Kingdom
148,LHW,36.290000000000006,103.73,China
149,LIM,-12.03,-77.07,Peru
150,LIS,38.75,-9.135000000000002,Portugal
151,LON,51.5,-0.17,United Kingdom
152,LOS,6.515000000000001,3.36,Nigeria
153,LPA,28.015,-15.4,Spain
154,LTN,51.87,-0.37,United Kingdom
155,LYS,45.739999999999995,4.97,France
156,MAA,13.04,80.225,India
157,MAD,40.455,-3.635,Spain
158,MAN,53.415,-2.255,United Kingdom
159,MCI,39.3,-94.71,United States
160,MCO,28.43,-81.31,United States
161,MCT,23.59,58.349999999999994,Oman
162,MDE,6.205,-75.49000000000001,Colombia
163,MDW,41.79,-87.75,United States
164,MED,24.509999999999998,39.655,Saudi Arabia
165,MEL,-37.74,144.9,Australia
166,MES,3.58,98.67,Indonesia
167,MEX,19.435000000000002,-99.1,Mexico
168,MHD,36.28,59.605000000000004,Iran
169,MIA,25.78,-80.24000000000001,United States
170,MIL,45.46,9.19,Italy
171,MKC,39.1,-94.58,United States
172,MNL,14.55,120.99000000000001,Philippines
173,MOW,55.75,37.7,Russia
174,MRS,43.37,5.295,France
175,MSP,44.93,-93.24000000000001,United States
176,MSY,29.97,-90.17,United States
177,MTY,25.73,-100.215,Mexico
178,MUC,48.245000000000005,11.684999999999999,Germany
179,MXP,45.63,8.72,Italy
180,NAN,-17.78,177.43,Fiji
181,NAS,25.055,-77.405,The Bahamas
182,NBO,-1.3,36.875,Kenya
183,NCE,43.68,7.244999999999999,France
184,NGO,35.18,136.91,Japan
185,NKG,31.9,118.82,China
186,NOU,-22.28,166.46,New Caledonia
187,NRT,35.76,140.39,Japan
188,NYC,40.71,-74.01,United States
189,OAK,37.765,-122.245,United States
190,OKA,26.27,127.725,Japan
191,OME,64.505,-165.43,United States
192,OOL,-28.08,153.465,Australia
193,OPO,41.2,-8.645,Portugal
194,ORD,41.98,-87.9,United States
195,ORL,28.53,-81.35,United States
196,ORY,48.73,2.36,France
197,OSA,34.69,135.5,Japan
198,OSL,60.05,10.925,Norway
199,OTP,44.57,26.1,Romania
200,OVB,55.025,82.79,Russia
201,PAR,48.85,2.35,France
202,PDX,45.55500000000001,-122.635,United States
203,PEK,40.08,116.58,China
204,PER,-31.945,115.91499999999999,Australia
205,PHL,39.915000000000006,-75.19999999999999,United States
206,PHX,33.445,-112.035,United States
207,PIT,40.465,-80.11500000000001,United States
208,PMI,39.56,2.69,Spain
209,POA,-30.009999999999998,-51.2,Brazil
210,POM,-9.44,147.2,Papua New Guinea
211,PPT,-17.545,-149.59,French Polynesia
212,PRG,50.095,14.34,Czechia
213,PTY,9.030000000000001,-79.44999999999999,Panama
214,PVG,31.14,121.81,China
215,RDU,35.88,-78.77666666666666,United States
216,REC,-8.09,-34.900000000000006,Brazil
217,REK,64.13,-21.95,Iceland
218,RGN,16.86,96.145,Myanmar (Burma)
219,RIO,-22.9,-43.21,Brazil
220,ROM,41.89,12.51,Italy
221,RUH,24.825000000000003,46.71,Saudi Arabia
222,SAC,38.51,-121.49,United States
223,SAN,32.724999999999994,-117.18,United States
224,SAO,-23.55,-46.64,Brazil
225,SAW,40.9,29.31,Turkey
226,SCL,-33.425,-70.72,Chile
227,SDU,-22.91,-43.16,Brazil
228,SEA,47.53,-122.32,United States
229,SEL,37.57,126.98,South Korea
230,SFO,37.695,-122.39500000000001,United States
231,SGN,10.82,106.64,Vietnam
232,SHA,31.21,121.4,China
233,SHE,41.715,123.45500000000001,China
234,SHJ,25.345,55.46,United Arab Emirates
235,SIA,34.26,108.93,China
236,SIN,1.32,103.91999999999999,Singapore
237,SIP,45.004999999999995,34.045,NA
238,SJC,37.36,-121.93,United States
239,SJO,9.96,-84.145,Costa Rica
240,SJU,18.455,-66.055,Puerto Rico
241,SLC,40.775,-111.935,United States
242,SMF,38.7,-121.59,United States
243,SNA,33.68,-117.87,United States
244,SPK,43.07,141.35,Japan
245,SSA,-12.940000000000001,-38.42,Brazil
246,STL,38.685,-90.285,United States
247,STN,51.88,0.24,United Kingdom
248,STO,59.33,18.08,Sweden
249,STR,48.735,9.19,Germany
250,SUB,-7.3149999999999995,112.77000000000001,Indonesia
251,SVO,55.97,37.41,Russia
252,SXF,52.38,13.52,Germany
253,SYD,-33.91,151.195,Australia
254,SYX,18.27,109.455,China
255,SZX,22.595,113.94,China
256,TAO,36.185,120.375,China
257,TCI,28.47,-16.25,Spain
258,THR,35.69,51.365,Iran
259,TLS,43.615,1.4,France
260,TLV,32.045,34.835,Israel
261,TNA,36.765,117.10499999999999,China
262,TPA,27.98,-82.53,United States
263,TPE,25.064999999999998,121.38,Taiwan
264,TRW,1.355,173.065,Kiribati
265,TSN,39.135000000000005,117.265,China
266,TXL,52.56,13.29,Germany
267,TYO,35.69,139.69,Japan
268,UIO,-0.175,-78.44,Ecuador
269,UPG,-5.109999999999999,119.485,Indonesia
270,URC,43.86333333333334,87.51666666666667,China
271,VCE,45.47,12.335,Italy
272,VCP,-23.01,-47.13,Brazil
273,VIE,48.165,16.465,Austria
274,VKO,55.59,37.26,Russia
275,VLI,-17.715,168.32,Vanuatu
276,WAS,38.9,-77.04,United States
277,WAW,52.2,20.990000000000002,Poland
278,WIL,-1.32,36.81,Kenya
279,WLG,-41.31,174.79500000000002,New Zealand
280,WUH,30.68,114.24,China
281,XIY,34.45,108.75,China
282,XMN,24.509999999999998,118.10499999999999,China
283,YEA,53.57,-113.5,Canada
284,YEG,53.31,-113.58,Canada
285,YKS,62.06,129.75,Russia
286,YMQ,45.51,-73.59,Canada
287,YOW,45.364999999999995,-75.685,Canada
288,YTO,43.7,-79.42,Canada
289,YUL,45.46,-73.75,Canada
290,YVR,49.22,-123.15,Canada
291,YWG,49.894999999999996,-97.19,Canada
292,YXL,50.09,-91.945,Canada
293,YYC,51.09,-114.05000000000001,Canada
294,YYZ,43.68,-79.61,Canada
295,YZF,62.46,-114.395,Canada
296,ZME,40.58,-74.32,United States
297,ZRH,47.41,8.555,Switzerland
